"kunta","vuosi","month","leave_m","leave_f","leave_mTaken","leave_fTaken","numFather","numMother","shareOver18","shareOverPaternity","shareNoLeave","shareUnderMaxMat"
"638",2009,8,263,18,263,18,49,50,0.102040816326531,0,0.346938775510204,0.04
"580",2009,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837",2009,7,263,18,263,18,196,206,0.25,0.0255102040816327,0.285714285714286,0.029126213592233
"935",2009,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444",2009,11,263,16,263,18,34,32,0.117647058823529,0.0294117647058824,0.382352941176471,0.03125
"418",2009,6,263,18,263,18,18,20,0.333333333333333,0,0.166666666666667,0.05
"563",2009,12,263,16,263,18,10,10,0,0,0.3,0
"291",2009,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"931",2009,1,263,0,263,18,9,7,0.111111111111111,0,0.555555555555556,0
"532",2009,3,263,18,263,18,18,18,0.111111111111111,0,0.222222222222222,0
